機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
,CASE(L),05000-0010,補修部品紙箱（大）,200,400,300,
,151/2X11X81/2,05000-0040,傳票包裝紙箱,90,290,150,
,05010-0010,05010-0010,地址貼條(服務站貼條),20,220,40,
,05010-0020,05010-0020,地址貼條(空白),20,220,40,
,05010-1120,05010-1120,ＯＥＭ服務材料申購書,20,220,40,
,BK,05100-0110,油漆（黑）,1000,1200,1200,
,#2500,05100-0150,香蕉水,350,550,450,
,PU THINNER,05100-0210,PU THINNER HOLDER A.BT,500,700,650,
,#110,05100-0470,保有力香蕉水,300,500,400,
,TH-6091,05100-1020,淺綠色油漆,1400,1600,1700,
,TH-6103,05100-1030,深綠色油漆,1500,1700,1800,
,PU,05100-1050,有力擔香蕉水,500,700,650,
,TH-90445,05100-1070,S色油漆TH-90445,1500,1700,1800,
,T-6403,05100-1130,油漆,1400,1600,1700,
,TH-1022(W),05100-1230,白色油漆,1500,1700,1800,
REF,TH-4105,05100-1240,鐵灰色油漆,1500,1700,1800,
,TH-4109,05100-1260,紅咖啡色噴漆,1900,2100,2200,
NR-C56EHV-S,BR647,05100-1270,鐵灰色霧面漆,1900,2100,2200,
NR-B581T-GLS,FID-1614-00,05100-1280,新G色PU噴漆U33,1500,1700,1800,
NR-D562HV-B,TH-4119,05100-1290,PU灰色噴漆,1900,2100,2200,
,05140-0010,05140-0010,黑色噴漆,200,400,300,
,WD-40,05140-0020,清潔劑,300,500,400,
,05140-0030,05140-0030,白土,250,450,350,
,05140-0060,05140-0060,訂色噴漆(乳白),200,400,300,
,05140-0070,05140-0070,PCB板清潔劑,900,1100,1100,
,PS-70,05140-0080,PS-70保濕絕緣保護劑,900,1100,1100,
CW-,05140-0090,05140-0090,凡立水,1300,1500,1550,
CS-,05140-0100,05140-0100,透明噴漆,200,400,300,
NA-,05140-0110,05140-0110,殘膠清潔劑524G,500,700,650,
,05210-0050,05210-0050,去澤油,120,320,200,
,05210-0060,05210-0060,甲苯,90,290,150,
,05210-0270,05210-0270,工業酒精甲醇,90,290,150,
,05210-0280,05210-0280,環保去漬油,90,290,150,
,05260-0010,05260-0010,磨滑膏,1500,1700,1800,
,05260-0030,05260-0030,去污臘,250,450,350,
,05260-0040,05260-0040,擦亮劑(小),400,600,500,
NR-,05260-0050,05260-0050,西門子水臘,200,400,300,
,05270-0140,05270-0140,保麗龍膠,500,700,650,
CW-,270-0150,05270-0150,KE-42W美國黏膠,800,1000,1000,
,KE-45,05270-0160,KE-45黏膠,500,700,650,
,EG-150,05270-0170,散熱膏150G,600,800,750,
,05270-0180,05270-0180,螺絲固定劑70G,250,450,350,
,K-5905,05270-0190,RTV硅橡膠K-5905,200,400,300,
,K-5905 45G,05270-0200,RTV硅橡膠K-5905,200,400,300,
,63% 0.8,05300-0010,焊錫絲（０．８Ｍ／Ｍ）,1300,1500,1550,
,2% 1.6,05300-0090,銀口（２％）１．６,50,250,90,
,25% 0.4X3.8,05300-0100,焊條(25%銀),200,400,300,
,05300-0330,05300-0330,銀焊清潔劑,1400,1600,1700,
CW-,2% 2.4,05300-0340,銀口（粗）２％,90,290,150,
CW-,05300-0350,05300-0350,焊錫絲 (0.8MM*1KG),2200,2400,2500,
,#3000,05400-0240,#3000瞬間接著劑,500,700,650,
,05400-0270,05400-0270,透明接縫膠,200,400,300,
,12MM,05410-0010,12MM雙面膠帶,30,230,50,
,PVC 19MM,05410-0020,ＰＶＣ TAPE 膠帶,30,230,50,
,OPP 12MM,05410-0030,透明膠帶１２ＭＭ,30,230,50,
,OPP 25MM,05410-0040,透明膠帶２５ＭＭ,30,230,50,
,50X50M,05410-0050,膠帶（冰箱用）,600,800,750,
,CFTW-5025 50MM,05410-0090,白色防水膠帶50MM,500,700,650,
,18M/M,05410-0100,和紙膠帶,50,250,90,
NR-,05410-0120,05410-0120,透明膠帶70MM,90,290,150,
,05410-0130,05410-0130,無黏膠帶4,120,320,200,
,05410-0140,05410-0140,"無黏膠帶4""",120,320,200,
,OPP 50MM,05410-0490,ＯＰＰ膠帶５０ＭＭ,90,290,150,
,25MM,05410-0500,雙面膠帶,90,290,150,
,20MMX30M,05410-0510,醋酸膠帶,300,500,400,
,50MM,05410-0610,50ＭＭ美紋膠帶,150,350,250,
,2.5CM,05410-0730,25MM美紋膠帶,90,290,150,
NW,3M12MM,05410-0770,3M12MM玻離籤維膠帶,250,450,350,
NW,3M18MM,05410-0780,3M18MM玻離籤維膠帶,400,600,500,
NW,3M25MM,05410-0790,3M25MM玻離籤維膠帶,500,700,650,
NW,NITTO18MM,05410-0800,NITTO18MM藍色膠帶,250,450,350,
NW,NITTO25MM,05410-0810,NITTO25MM藍色膠帶,300,500,400,
NW,NITTO50MM,05410-0820,NITTO50MM藍色膠帶,600,800,750,
NR-,40MMX75M,05410-0830,鋁箔膠帶,900,1100,1100,
NR-,40MMX100M,05410-0840,鋁箔膠帶,800,1000,1000,
,ASF-110FR,05410-0850,自黏鐵弗龍耐溫膠帶,600,800,750,
CW,50MMX25M,05410-0860,白色防水膠帶,400,600,500,
,O2,05500-0010,氧氣6M3,250,450,350,
CW-,N2,05500-0020,氮氣6M3,300,500,400,
,乙炔,05500-0030,乙炔,1300,1500,1550,
CW,0.5M3,05500-0040,0.5M3氧氣瓶,500,700,650,
CW,0.75M3,05500-0050,0.75M3氧氣瓶(含鋼瓶),4760,4960,5500,
CW,0.75M3-O2,05500-0060,0.75M3氧氣充填(空瓶需回收),400,600,500,
CW,05500-0070,05500-0070,5.1L氮氣瓶,5500,5700,6350,
CW,05500-0080,05500-0080,5.1L氮氣充填(空瓶需回收),500,700,650,
CW,05500-0090,05500-0090,氮氣充填(空瓶需回收),1700,1900,2000,
,F-12,05510-0010,冷媒14KG,900,1100,1100,
CO,COB510-0020,05510-0020,冷媒R22單位55KG,350,550,450,
,05510-0050,05510-0050,打火機瓦斯,200,400,300,
CO,R-410A,05510-0060,新冷媒R-410A,4080,4280,4700,
CO,R-141B,05510-0070,R-141B 清洗劑22KG,9100,9300,10500,
NR-B483HV-S,R-600A,05510-0080,R-600A冷媒80G,600,800,750,
NR-,05510-0090,05510-0090,300G丁烷加FXD2,200,400,300,
CW-,05510-0100,05510-0100,R22冷媒13.6KG,5270,5470,6050,
NR-B433HV-S,NRR600A-80G,05510-0110,R-600A冷媒80G,450,650,600,
NR-B433HV-S,NRB510-0062,05510-0120,R134A冷媒22.7KG,8400,8600,9650,
NR-,NRB510-0061,05510-0121,R-134A 散裝填充(單位/1公斤),400,600,500,
NR-F607TT-S1,NRR600A-100G,05510-0130,岩谷R-600A冷媒97G,800,1000,1000,
CW,05510-0140,05510-0140,25KG正溴丙烷NPBRLVS,8400,8600,9650,
CW,HFC-R410A-DISP,05510-0150,650G檢漏冷媒,800,1000,1000,
CW,R-410A-11.3,05510-0160,R410A冷媒11.3KG,4750,4950,5500,
NR,R-32-10KG,05510-0170,R-32冷媒9.5KG,2700,2900,3100,
CW-,05510-0180,05510-0180,R-22冷媒13.6KG,9860,10060,11350,
CW-,R410A-800G,05510-0190,檢漏冷媒R410A(800G),950,1150,1150,
CW-,R32-650G,05510-0200,檢漏冷媒R32(650G),950,1150,1150,
,05600-0080,05600-0080,牛油,120,320,200,
,05600-0130,05600-0130,藥用酒精乙醇,200,400,300,
,EM-50L,05600-0140,百葉扇軸承潤滑油1KG,4250,4450,4900,
,EM-50L40G,05600-0150,百葉扇軸承潤滑油40G,300,500,400,
CO,05610-0100,05610-0100,一加侖真空幫浦油,1900,2100,2200,
CO,05610-0110,05610-0110,一公升真空幫浦油,600,800,750,
,FE WIRE,05710-0020,紮線（鐵絲）,250,450,350,
,05710-0040,05710-0040,紮線帶200MM,300,500,400,
,05710-0050,05710-0050,紮線帶165MM,150,350,250,
,05710-0070,05710-0070,特殊接線,120,320,200,
,2.2M/M,05710-0080,吸鍚線（日製）,120,320,200,
,CP-3515,05710-0090,吸錫線（中）３．５Ｍ／Ｍ,120,320,200,
,05710-0100,05710-0100,防靜電填充式筆型助焊筆,800,1000,1000,
,63% 0.6MM,05710-0110,焊鍚絲（０．６Ｍ／Ｍ）,1200,1400,1450,
CTV,430X300,05710-0160,防靜電袋,30,230,50,
,430X150,05710-0170,防靜電PE袋,30,230,50,
,250X280,05710-0180,防靜電PE袋,20,220,40,
,73X118,05710-0190,防靜電PE袋,20,220,40,
,100MM,05710-0230,紮線100MM,50,250,90,
,F-350-2,05710-0240,免洗助焊劑200G,120,320,200,
,SF22A-NP303,05710-0250,三元合金無鉛銲錫,1000,1200,1200,
CW-,110X370X0.03,05710-0290,OPP自黏式包裝袋,20,220,40,
CW-,130X390X0.03,05710-0300,OPP自黏式包裝袋,20,220,40,
NA-,110X190X0.03,05710-0310,OPP自黏式包裝袋32530-0100,20,220,40,
NA-,100X140X0.03,05710-0320,OPP自黏式包裝袋-32530-7050,20,220,40,
NA-,110X190X0.03A,05710-0340,OPP自黏式包裝袋,20,220,40,
NA-,150X560X0.08,05710-0350,防靜電袋,30,230,50,
NH,290X290MM,05710-0360,圓形皮帶包裝袋0620,30,230,50,
NA-,05710-0370,05710-0370,圓形皮帶包裝袋0630,30,230,50,
NH,245X245MM,05710-0380,不織布濾網包裝袋0050,30,230,50,
NF,490X490MM,05710-0390,電扇前後網固定圈,30,230,50,
CW,330X500MM,05710-0400,冷氣卡式濾網包裝袋,30,230,50,
CW,440X450MM,05710-0410,冷氣卡式濾網包裝袋,30,230,50,
CW,300X300MM,05710-0420,冷氣卡式濾網包裝袋,30,230,50,
NA,100X115MM,05710-0430,洗衣機濾芯包裝袋,20,220,40,
SD,8X4X10MM,05710-0440,攪拌葉片包裝袋,30,230,50,
MX,7X4X8.5MM,05710-0450,上連軸包裝袋,30,230,50,
MX,18X4X22MM,05710-0460,杯蓋包裝袋,30,230,50,
WM,05710-0470,05710-0470,TM2絕緣閉端端子,200,400,300,
WM,05710-0480,05710-0480,TM3絕緣閉端端子,250,450,350,
WM,05710-0490,05710-0490,洗衣機皮帶包裝袋,30,230,50,
CO,05710-0500,05710-0500,160X190X0.08MM防靜電袋,20,220,40,
CO,05710-0510,05710-0510,UY-2接續端子,500,700,650,
NA,05710-0520,05710-0520,防靜電袋,50,250,90,
,05740-0100,05740-0100,纖維膠帶12MM,200,400,300,
,25MMX25M,05740-0120,冰箱用白色膠帶(25M/M),250,450,350,
CW,100MMX10MX3MM,05740-0130,單面背膠泡棉,500,700,650,
,#100,05800-0020,砂布（＃１００）,20,220,40,
,W#100,05800-0030,水沙紙＃１００,20,220,40,
,#240,05800-0050,水砂紙＃２４０,20,220,40,
,#320.#400,05800-0060,水砂紙＃３２０／＃４００,20,220,40,
,#600,05800-0070,水砂紙＃６００,20,220,40,
,P#120,05800-0090,圓型砂紙,2200,2400,2500,
,P#320,05800-0130,圓型砂紙,2200,2400,2500,
,#120,05800-0170,砂布＃１２０,20,220,40,
,05800-0200,05800-0200,強力膠黏劑（條）,30,230,50,
MC-,05800-0250,05800-0250,鋁殼吹風機,1200,1400,1450,
CW,05800-0280,05800-0280,噴水槍,400,600,500,
,PJ-203,05800-0300,吹風機,3750,3950,4300,
,05800-0500,05800-0500,水砂紙100,30,230,50,
LCD,05900-0040,05900-0040,白色打包帶15MM,2200,2400,2500,
NR-,05920-0010,05920-0010,黃色雨衣 L,1300,1500,1550,
NR-,05920-0020,05920-0020,黃色雨衣XL,1300,1500,1550,
NR-,05920-0030,05920-0030,黃色雨衣XXL,1300,1500,1550,
,TMTS-03,05940-0010,手提袋（大）,20,220,40,
,34+22+67,05940-0020,手提袋（中）,20,220,40,
,34+16+54,05940-0030,手提袋（小）,20,220,40,
,05940-0040,05940-0040,手提袋（特大）,20,220,40,
,05940-0050,05940-0050,手提袋（特小）,20,220,40,
,45+26*76CM*0.03MM,05940-0060,手提袋（大）,20,220,40,
,34+22*77CM*0.03MM,05940-0070,手提袋（中）,20,220,40,
,34+18*54CM*0.03MM,05940-0080,手提袋（小）,20,220,40,
,44+27*85CM*0.03MM,05940-0090,手提袋（特大）,20,220,40,
,25+12*43CM*0.03MM,05940-0100,手提袋（特小）,20,220,40,
CW,05941-0010,05941-0010,連續袋,200,400,300,
CW,05941-0020,05941-0020,材料包裝袋有印刷,200,400,300,
CW,05941-0030,05941-0030,材料包裝袋無印刷,200,400,300,
CW,315X440X0.05MM,05941-0040,連續袋2.2KG,600,800,750,
CW,255X385X0.05MM,05941-0050,包裝PE袋KG,250,450,350,
CW,155X560X0.05MM,05941-0060,包裝PE袋KG,200,400,300,
CW,75X115X0.05MM,05941-0070,包裝PE袋1號,300,500,400,
CW,95X115X0.05MM,05941-0080,包裝PE袋2號,300,500,400,
CW,115X175X0.05MM,05941-0090,包裝PE袋3號,300,500,400,
CW,220X220X0.05MM,05941-0100,包裝PE袋4號,300,500,400,
CW,225X310X0.05MM,05941-0110,包裝PE袋5號,300,500,400,
CW,235X390X0.05MM,05941-0120,包裝PE袋6號,300,500,400,
CW,80X270X0.05MM,05941-0130,包裝PE袋7號,300,500,400,
CW,95X270X0.05MM,05941-0140,包裝PE袋8號,300,500,400,
CW,100X590X0.05MM,05941-0150,包裝PE袋9號,300,500,400,
CW,73X270X0.05MM,05941-0160,包裝PE袋10號,300,500,400,
CW,150X180X0.05MM,05941-0170,包裝PE袋11號,300,500,400,
CW,460X640X0.05MM,05941-0180,濾網包裝PE袋,250,450,350,
SR,16X10CM,05941-0190,夾鏈袋(1包100PCS),90,290,150,
NH,250X250X25MM,05941-0200,灰銅紙盒(尼龍濾網),50,250,90,
NH,70X170X20MM,05941-0210,灰銅紙盒(電熱絲),30,230,50,
NR,50X460X35MM,05941-0220,灰銅紙盒(滾珠式滑軌),30,230,50,
NH,160X75X35MM,05941-0230,灰銅紙盒(冷氣遙控器),30,230,50,
NH,180X65X35MM,05941-0240,灰銅紙盒(LCD遙控器),30,230,50,
NH,235X70X20MM,05941-0250,灰銅紙盒電熱絲,30,230,50,
CO,210X75X35MM,05941-0260,CO遙控器灰銅紙盒,30,230,50,
,100MMX140MM,05941-0270,夾鏈袋(1包100PCS),90,290,150,
,06000-0010,06000-0010,頭戴式放大鏡,1300,1500,1550,
,06000-0030,06000-0030,桌墊1公斤,150,350,250,
,06000-0040,06000-0040,透明膠墊,90,290,150,
,06000-0090,06000-0090,氣泡布３,1100,1300,1300,
,06000-0120,06000-0120,面具藥罐,120,320,200,
,06000-0200,06000-0200,工作桌地毯,700,900,850,
NR-A680MF,120CMX93CM,06000-0210,氣泡布片,30,230,50,
,60CMX93CM,06000-0220,氣泡布,20,220,40,
,06000-0250,06000-0250,玻璃刀,600,800,750,
,06000-0260,06000-0260,夾線釘(2分),90,290,150,
,06000-0270,06000-0270,夾線釘(3分),90,290,150,
,06100-0040,06100-0040,打火石(包),90,290,150,
,06100-0050,06100-0050,打火器,90,290,150,
,06100-0880,06100-0880,刀片（大美工刀）,30,230,50,
,19MM,06100-1050,白色打包帶１９ＭＭ,1400,1600,1700,
,06200-0030,06200-0030,皮鞋刀,700,900,850,
,06200-0040,06200-0040,刀片,30,230,50,
,06200-0060,06200-0060,鐵鋸（收縮型）,400,600,500,
CO,703-020-G1,06204-0010,冷媒檢漏器感知器,3750,3950,4300,
,1英寸,06300-0010,毛刷(1英寸),30,230,50,
,06300-0020,06300-0020,2英吋毛刷,30,230,50,
,3,06300-0030,毛刷（３）,50,250,90,
,06300-0040,06300-0040,銅刷,30,230,50,
,06300-0050,06300-0050,鋼刷,30,230,50,
,#2,06300-0070,水彩筆（＃２）,50,250,90,
,06400-0050,06400-0050,止洩帶,30,230,50,
,R20NNT-2SC,06400-0180,1號黑色電池(單顆),19,260,60,
CW-,R14NNT-2SCA,06400-0190,2號黑色電池(單顆),14,250,50,
TH-,R6NNT-4SCA,06400-0200,3號黑色電池(單顆),6.5,220,20,
,R03NNT-4SCA,06400-0210,4號黑色電池(單顆),6.5,220,20,
,6F22NNT/1SCA,06400-0230,9V黑色電池(單顆),30,250,50,
,LR20TTS-2B,06400-0240,1號鹼性電池(單顆),90,350,150,
CW-,LR6TTS-4B,06400-0260,3號鹼性電池(單顆),20,240,40,
,LR03TTS-4B,06400-0270,4號鹼性電池(單顆),30,250,50,
,LR6EG-4SX,06400-0510,EVOLTA 3號電池(單顆),30,250,50,
,LR03EG-4SX,06400-0520,EVOLTA 4號電池(單顆),30,250,50,
,LR03EGT-2BN,06400-0530,EVOLTA 4號電池(單顆),20,240,40,
,LR6EGT-2BN,06400-0540,EVOLTA 3號電池(單顆),30,250,50,
CO,06460-0030,06460-0030,2蕊白扁電源線100M,3800,4000,4400,
,06500-0010,06500-0010,粗棉手套（雙）,30,230,50,
,06500-0020,06500-0020,細手套,30,230,50,
,06500-0030,06500-0030,內衣布,250,450,350,
,06500-0040,06500-0040,防滑手套（雙）,50,250,90,
,06500-0050,06500-0050,活性碳口罩,50,250,90,
,06500-0090,06500-0090,袖套,50,250,90,
,06500-0110,06500-0110,打包扣,90,290,150,
,100C,06500-0130,溫度計（１００Ｃ）短,120,320,200,
,BIG HEAD,06500-0140,電錶線（大頭）,90,290,150,
,06500-0150,06500-0150,圍兜兜,200,400,300,
,06500-0190,06500-0190,毛巾(條),50,250,90,
,06500-0250,06500-0250,抹布280X320MM,30,230,50,
TC-30TLF,MIA250250-03,06500-0560,PDP液晶擦拭布,120,320,200,
CU-,06500-0570,06500-0570,VP-250S真空幫浦,25800,26000,30000,
NR-,06500-0590,06500-0590,尼龍手套,50,250,90,
NR-,06500-0610,06500-0610,安全眼鏡,300,500,400,
NR-,06500-0630,06500-0630,抽取式手套,400,600,500,
TH-L42B12W,103X63X11,06500-0640,42吋LCD保護套,1300,1500,1550,
TH-65PF20T,160X100X11,06500-0650,65吋PDP保護套,1300,1500,1550,
TH-,06500-0660,06500-0660,防滑地墊,1800,2000,2100,
TH-,180X430,06500-0670,拋棄式防滑鞋套10雙/包,90,290,150,
TH-,140CMX80CM,06500-0680,地墊,600,800,750,
TH-,90CMX90CM,06500-0690,防塵墊,600,800,750,
TH-,06500-0700,06500-0700,醫療口罩(50片)有印PANASONIC,700,900,850,
TH-,06500-0710,06500-0710,醫療口罩(30片)無印PANASONIC,200,400,300,
,06500-0720,06500-0720,防滑布希鞋(B53-C)41號,600,800,750,
,06500-0730,06500-0730,防滑布希鞋(B53-C)42號,600,800,750,
,06500-0740,06500-0740,防滑布希鞋(B53-C)43號,600,800,750,
,06500-0750,06500-0750,防滑布希鞋(B53-C)44號,600,800,750,
,3.5*3C,06500-0760,控制電纜3.5*3C,10750,10950,12350,
,1.25*4C,06500-0770,細控電纜1.25平方*4C,5350,5550,6150,
CO,12.7MM,06520-0020,4分排水管(窗型),30,230,50,
CO,4*2MM*200M,06520-0030,透明PVC排水管4*2MM*200M,4400,4600,5050,
,10M/M,06600-0040,Ｔ型套筒,150,350,250,
,12M/M,06600-0050,Ｔ型套筒,150,350,250,
,13-14MM,06600-0060,１３-１４套筒,700,900,850,
,11*13,06600-0080,雙頭套筒１１～１３,700,900,850,
,8-10M/M,06600-0090,８～１０套筒,450,650,600,
,9~11,06600-0092,雙套頭９～１１,400,600,500,
,450M/M,06600-0160,氣動起子頭（長）,200,400,300,
,06600-0180,06600-0180,電池,20,220,40,
,BIT,06600-0200,起子頭,50,250,90,
,06600-0230,06600-0230,斜口鉗,400,600,500,
,150M/M,06600-0240,活動扳手,300,500,400,
,06600-0250,06600-0250,魚口鉗8寸,250,450,350,
,40W/30W,06600-0260,電鉻鐵（３０Ｗ／４０Ｗ）,120,320,200,
,06600-0290,06600-0290,１０支裝起子組,350,550,450,
,06600-0300,06600-0300,彈簧鉗,400,600,500,
,06600-0310,06600-0310,封口鉗,500,700,650,
,06600-0320,06600-0320,彈簧斜口鉗,400,600,500,
,06600-0340,06600-0340,切管鉗（小）,800,1000,1000,
,06600-0350,06600-0350,萬能鉗,700,900,850,
,06600-0400,06600-0400,中型熔接器,2500,2700,2900,
,O2METAL,06600-0420,氧氣壓力錶,2500,2700,2900,
,N2-METAL,06600-0430,氮氣壓力錶,2500,2700,2900,
,C2H2M,06600-0440,乙炔調節錶,2500,2700,2900,
,06600-0450,06600-0450,雙色管每台尺,30,230,50,
,06600-0490,06600-0490,黃色高壓管,120,320,200,
,06600-0500,06600-0500,真空軟管,120,320,200,
,06600-0540,06600-0540,低壓表,1100,1300,1300,
,06600-0640,06600-0640,銼刀／小,120,320,200,
,06600-0650,06600-0650,大鐵剪（中）,1500,1700,1800,
,06600-0670,06600-0670,快速接頭（公）,400,600,500,
,06600-0680,06600-0680,快速接頭（母）,800,1000,1000,
,PCV-630,06600-0700,快速接頭,3100,3300,3550,
,06600-0710,06600-0710,快速接頭螺絲,90,290,150,
,06600-0740,06600-0740,R-22冷媒轉接頭,90,290,150,
EP-1520,DR-51,06600-0770,星型替換式起子組,2200,2400,2500,
,06600-0780,06600-0780,內六角扳手組,200,400,300,
,8M/M,06600-0800,梅開板手,200,400,300,
,13M/M,06600-0820,13MM梅開板手,250,450,350,
,14M/M,06600-0830,14MM梅開板手,250,450,350,
,17M/M,06600-0840,17MM梅開板手,150,350,250,
,19M/M,06600-0850,19MM梅開板手,200,400,300,
,8~9,06600-0860,開口扳手,90,290,150,
,8~10,06600-0865,開口扳手,90,290,150,
,14~17,06600-0880,開口扳手,90,290,150,
,11X13,06600-0910,11~13棘輪扳手,200,400,300,
,06600-0920,06600-0920,16MM套筒板手,600,800,750,
,300M/M,06600-0940,活動扳手300MM,600,800,750,
,107X12,06600-0950,#NAME?,120,320,200,
,8,06600-0960,#NAME?,120,320,200,
,06600-0990,06600-0990,#NAME?,30,230,50,
,06600-1000,06600-1000,#NAME?,30,230,50,
,107*4,06600-1010,#NAME?,120,320,200,
,107X4,06600-1020,#NAME?,120,320,200,
,DB-13,06600-1030,球垂起子,400,600,500,
,06600-1060,06600-1060,L型起子組,450,650,600,
CO,06600-1070,06600-1070,防滑小起子,90,290,150,
,06600-1080,06600-1080,人型起子,250,450,350,
,06600-1130,06600-1130,空氣噴槍,300,500,400,
,06600-1340,06600-1340,鐵槌（１Ｐ）,120,320,200,
,06600-1360,06600-1360,尖口鉗,400,600,500,
,+.-50C,06600-1410,＋－５０℃溫度計,120,320,200,
,06600-1620,06600-1620,R22冷媒充填壓力錶,4500,4700,5200,
CW-,107*12,06600-1630,300MM＋字起子,150,350,250,
,06600-1650,06600-1650,R22壓力錶三色管,2000,2200,2300,
,/100W,06600-1780,電烙鐵／１００Ｗ,300,500,400,
CU-,06600-1790,06600-1790,烙鐵架,120,320,200,
,06600-1800,06600-1800,二段式烙鐵頭,450,650,600,
,06600-2320,06600-2320,數位電子溫度計,4100,4300,4700,
,06600-2340,06600-2340,指針式電流鉤錶,1600,1800,1900,
CW,9027T,06600-2350,數字式電錶,5950,6150,6850,
,06600-2360,06600-2360,數位三用電錶,2400,2600,2750,
,06600-2370,06600-2370,EDSYN吸鍚棒,800,1000,1000,
,06600-2451,06600-2451,拆卸套筒,5750,5950,6600,
,06600-2460,06600-2460,－字起子（３０ＣＭ）,150,350,250,
,06600-2467,06600-2467,瓦斯烙鐵,3300,3500,3800,
,06600-2469,06600-2469,氣動起子,4100,4300,4700,
CU-,06600-2471,06600-2471,控溫烙鐵,800,1000,1000,
,06600-2480,06600-2480,伸縮管６Ｍ,250,450,350,
,06600-2506,06600-2506,果汁機杯合銅工具,2000,2200,2300,
,06600-2525,06600-2525,溫度控測線,300,500,400,
,06600-2526,06600-2526,電動起子,2900,3100,3300,
,06600-2537,06600-2537,槍型電動起子,2100,2300,2400,
,1M/3.0M/M,06600-2541,鋁梯３尺,1600,1800,1900,
,6.35*200,06600-2581,起子頭,90,290,150,
,C2H2,06600-2586,乙炔錶　小,2200,2400,2500,
,200M/M,06600-2589,活動扳手200MM,400,600,500,
,06600-2590,06600-2590,陶瓷電烙鐵,1400,1600,1700,
,06600-2591,06600-2591,示波器棒,1600,1800,1900,
,15W~150W,06600-2601,TQ90二段即熱烙鐵,1500,1700,1800,
,06600-2610,06600-2610,#NAME?,90,290,150,
,06600-2620,06600-2620,起子１０２Ｘ３－,90,290,150,
,06600-2808,06600-2808,毛邊清除器,400,600,500,
,06600-2810,06600-2810,梅花扳手８１０,90,290,150,
NA-F90A2TT,HW-25K,06600-2940,拆卸工具組,2400,2600,2750,
,06600-2950,06600-2950,洗衣盤拆卸治具(大),800,1000,1000,
,06600-2960,06600-2960,洗衣盤拆卸治具(小),600,800,750,
,06600-2970,06600-2970,摩擦彈簧拆卸扳手,250,450,350,
,06600-2980,06600-2980,恆溫細尖烙鐵,1300,1500,1550,
CW-,SY-304,06600-3000,IC 拔取器,200,400,300,
,06600-3010,06600-3010,抗磁抗酸鑷子,600,800,750,
,06600-3020,06600-3020,恆溫細尖烙鐵頭,450,650,600,
,06600-3030,06600-3030,數字細尖調溫烙鐵頭,400,600,500,
,0.5A12000RPM,06600-3040,迷你電鑽,1100,1300,1300,
,06600-3060,06600-3060,1.0MM鑽頭,50,250,90,
,5MM,06600-3070,5MM星型螺絲起子,200,400,300,
NT-868,AK-15A,06600-3080,壓著鉗,900,1100,1100,
CU-,06600-3090,06600-3090,R-410A冷媒充填壓力錶,5450,5650,6250,
CU-,06600-3100,06600-3100,R-410A1/2連接軟管,1300,1500,1550,
CU-,06600-3110,06600-3110,母7/16轉公1/2接頭,150,350,250,
CU-,06600-3120,06600-3120,1/2X2轉接頭,90,290,150,
CU-,06600-3130,06600-3130,冷媒檢漏計,27550,27750,31700,
CU-,06600-3140,06600-3140,冷媒充填磅秤,9500,9700,10950,
CU-,06600-3150,06600-3150,5MM星型套筒螺絲起子,150,350,250,
CU-,06600-3160,06600-3160,R410A壓力錶三色管,2100,2300,2400,
CU-,06600-3170,06600-3170,逆火防止器,2200,2400,2500,
CU-,06600-3180,06600-3180,烙鐵電木隔熱套,120,320,200,
CU-,YF-303,06600-3190,YF303三用電錶,1100,1300,1300,
CU-,06600-3200,06600-3200,HAAKO可收納吸錫棒,900,1100,1100,
NR-,T-225,06600-3210,R600A冷媒瓶轉接頭,1000,1200,1200,
NR-,06600-3220,06600-3220,1/4壓管式快速接頭R600A.410A,4600,4800,5300,
NR-,3/1606600-3230,06600-3230,3/16壓管式快速接頭R600A.410A,4600,4800,5300,
NR-,HA-R205,06600-3240,R600A排氣鉗,7650,7850,8800,
NR-,06600-3250,06600-3250,12吋手据弓,300,500,400,
NR-,12X24T,06600-3260,据條,90,290,150,
CU-,06600-3270,06600-3270,壓縮機檢修測試器,600,800,750,
CU-,06600-3280,06600-3280,902C數位電流鈎表,3900,4100,4450,
CU-,06600-3290,06600-3290,氧氣瓶酸素表,3300,3500,3800,
MX-,06600-3300,06600-3300,果汁機合銅拆卸治具,4100,4300,4700,
CU-,S COOL TEST,06600-3310,變頻冷氣修理治具,1900,2100,2200,
NR-,HR-1,06600-3320,貫穿閥,2400,2600,2750,
NR-,802-Y,06600-3330,2.4MM人型起子,250,450,350,
TH-,5.5MM,06600-3340,5.5MM星型套筒螺絲起子,150,350,250,
TH-,06600-3350,06600-3350,迷你氧氣錶組,2500,2700,2900,
NA-VX73GR,HW-60,06600-3360,皮帶輪螺絲拆卸工具組,2700,2900,3100,
CW,06600-3370,06600-3370,4.8V槍型電動起子,1900,2100,2200,
NA,06600-3380,06600-3380,12寸三氣泡水平儀,400,600,500,
CW,06600-3390,06600-3390,TM1016數位式交流鉤錶,2700,2900,3100,
NB,06600-3400,06600-3400,U型M2X80螺絲起子,800,1000,1000,
NB,06600-3410,06600-3410,氮氣高壓錶,6400,6600,7360,
CW,06600-3420,06600-3420,氮氣直型單閥,700,900,850,
CW,06600-3430,06600-3430,氮氣高壓軟管2M,1500,1700,1800,
