機種,品番,摘要,檢印,建立日期
CS-J45DA2 ,C3932-0252,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J56DA2 ,C3932-0253,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J63DA2 ,C3932-0254,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J71DA2 ,C3932-0255,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J20~90DA2 ,C3932-0256,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J20DCA2 ,C3932-0257,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J25DCA2 ,C3932-0258,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J32DCA2 ,C3932-0259,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J36DCA2 ,C3932-0260,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J45DCA2 ,C3932-0261,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
F-Y263BW,C3932-0262,2012年台灣向除濕機(高級型),廖啟宏,2012/0702
F-YCH23H (C),C3932-0263,2012年香港(中國)向除濕機(高級型),廖啟宏,2012/0702
CS-GX20~63A2,C3932-0264,GX系列室内機INV機種(搭一對多),蔣育宏,2012/7/30
CS-J20-90DA2 ,C3932-0265,2012年J系列 DUCT 室内機 INV 機種,高士淵,2012/7/30
CU-2J83CA2,C3932-0266,2013年一對多室外機INV機種(舊COMP),蔣育宏,2012/10/2
CU-2J83HA2,C3932-0267,2013年一對多室外機INV機種(舊COMP),蔣育宏,2012/10/2
CU-2J~4J系列,C3932-0268,2013年一對多室外機INV機種),蔣育宏,2012/10/5
CS-LX63A2,C3932-0269,2013年LX系列  室内機 INV 機種,陳縉融,2012/10/15
CS-LX72A2,C3932-0270,2013年LX系列  室内機 INV 機種,陳縉融,2012/10/15
CS-LX80A2,C3932-0271,2013年LX系列  室内機 INV 機種,陳縉融,2012/10/15
CS-LX90A2,C3932-0272,2013年LX系列  室内機 INV 機種,陳縉融,2012/10/15
CS-LX63~90A2,C3932-0273,2013年LX系列  室内機 INV 機種,陳縉融,2012/10/15
CU-LX63CA2,C3932-0274,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX72CA2,C3932-0275,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX80CA2,C3932-0276,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX90CA2,C3932-0277,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX63HA2,C3932-0278,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX72HA2,C3932-0279,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX80HA2,C3932-0280,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX90HA2,C3932-0281,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-LX63~90系列,C3932-0282,2013年LX系列  室外機 INV 機種,蔣育宏,2012/11/6
CU-J20CA2/02,C3932-0283,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J25CA2/02,C3932-0284,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-32JCA2/02,C3932-0285,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J36CA2/02,C3932-0286,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J45CA2/02,C3932-0287,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J56CA2/02,C3932-0288,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J63CA2/02(預),C3932-0289,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J20HA2/02,C3932-0290,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J25HA2/02,C3932-0291,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-32JHA2/02,C3932-0292,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J36HA2/02,C3932-0293,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J45HA2/02,C3932-0294,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J56HA2/02,C3932-0295,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J63HA2/02(預),C3932-0296,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J20~25CA2/HA2/02,C3932-0297,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CU-J32~36CA2/HA2/02,C3932-0298,2013年J系列  室外機 INV 機種,劉俊佑,2012/11/16
CS-K20CA2,C3932-0299,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K25CA2,C3932-0300,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K32CA2,C3932-0301,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K36CA2,C3932-0302,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K45CA2,C3932-0303,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K56CA2,C3932-0304,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-K63CA2,C3932-0305,2013年K系列  室内機 INV 機種,廖啟宏,2012/12/17
CS-J90DA2 ,C3932-0306,2013年J系列 DUCT 室内機 INV 機種,陳縉融,2013/1/30
CW-G25/32HA2(S),C3932-0307,窗型變頻 CW-G25/32HA2 機種(內機),高士淵,2013/2/20
CW-G25HA2(U),C3932-0308,窗型變頻 CW-G25HA2 機種(外機),高士淵,2013/2/20
CW-G32HA2(U),C3932-0309,窗型變頻 CW-G32HA2 機種(外機),高士淵,2013/2/20
CW-G25HA2(S),C3932-0310,窗型變頻 CW-G25HA2 機種(內機),高士淵,2013/2/20
CW-G32HA2(S),C3932-0311,窗型變頻 CW-G32HA2 機種(內機),高士淵,2013/2/20
CW-G25HA2(U),C3932-0312,窗型變頻 CW-G25HA2 機種(外機),高士淵,2013/2/20
CW-G32HA2(U),C3932-0313,窗型變頻 CW-G32HA2 機種(外機),高士淵,2013/2/20
CS-GX63A2,C3932-0314,宜蘭大學專案機種,陳縉融,2013/2/25
CS-J45CA2,C3932-0315,宜蘭大學專案機種,陳縉融,2013/2/25
CU-K22CA2,C3932-0316,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K28CA2,C3932-0317,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K36CA2,C3932-0318,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K40CA2,C3932-0319,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K50CA2,C3932-0320,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K63CA2,C3932-0321,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-K71CA2,C3932-0322,2013年K系列  室外機 INV 機種,蔣育宏,2013/3/6
CU-G71CA2,C3932-0323,G71系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-G71HA2,C3932-0324,G71系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-GX63CA2,C3932-0325,GX63系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-GX63HA2,C3932-0326,GX63系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-J63CA2,C3932-0327,J63系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-J63HA2,C3932-0328,J63系列室外機(新240 COMP),蔣育宏,2013/3/8
CU-K71CA2,C3932-0329,K71系列室外機(新240 COMP),蔣育宏,2013/3/8
CS-J45CA2,C3932-0330,RS485搭配機種,陳縉融,2013/5/10
F-YCJ18H,C3932-0331,2013年香港向除濕機,陳縉融,2013/6/7
F-Y36AXW,C3932-0332,2013年台灣向除濕機,陳縉融,2013/6/7
F-Y32AXW,C3932-0333,2013年台灣向除濕機,陳縉融,2013/6/7
F-Y12CW,C3932-0334,2015年台灣向除濕機,廖啟宏,2015/6/5
F-Y16CW,C3932-0335,2015年台灣向除濕機,廖啟宏,2015/6/5
F-YCL16H,C3932-0336,2015年香港向除濕機,廖啟宏,2015/6/5
F-Y24CXW,C3932-0337,2015年台灣向除濕機,廖啟宏,2015/6/5
F-Y28CXW,C3932-0338,2015年台灣向除濕機,廖啟宏,2015/6/5
F-Y32CXW,C3932-0339,2015年台灣向除濕機,廖啟宏,2015/6/5
F-Y36CXW,C3932-0340,2015年台灣向除濕機,廖啟宏,2015/6/5
F-Y45CXW,C3932-0341,2015年台灣向除濕機,廖啟宏,2015/6/5
CW-G40HA2(S),C3932-0342,窗型變頻 CW-G40HA2 機種(內機),高士淵,2013/8/1
CW-G50HA2(S),C3932-0343,窗型變頻 CW-G50HA2 機種(內機),高士淵,2013/8/1
CW-G40HA2(U),C3932-0344,窗型變頻 CW-G40HA2 機種(外機),高士淵,2013/8/1
CW-G50HA2(U),C3932-0345,窗型變頻 CW-G50HA2 機種(外機),高士淵,2013/8/1
F-Y24AXW,C3932-0346,2013年台灣向除濕機,廖啟宏,2013/8/27
CU-4J130系列,C3932-0347,2014年一對多13kW系列  室外機 INV 機種,蔣育宏,2013/9/20
CS-LX22A2,C3932-0348,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CS-LX28A2,C3932-0349,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CS-LX36A2,C3932-0350,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CS-LX40A2,C3932-0351,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CS-LX50A2,C3932-0352,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CS-LX22-50A2,C3932-0353,2014年LX系列  室內機 INV 機種,陳縉融,2013/9/27
CU-4J130CA2,C3932-0354,2014年一對多室外機INV機種(13kW),蔣育宏,2013/10/1
CU-4J130HA2,C3932-0355,2014年一對多室外機INV機種(13kW),蔣育宏,2013/10/1
VS-22~160N1E5,C3932-0356,VRF DUCT 系列機種,高士淵,2013/10/15
VS-22N1E5,C3932-0357,VRF DUCT 系列機種,高士淵,2013/10/15
VS-28N1E5,C3932-0358,VRF DUCT 系列機種,高士淵,2013/10/15
VS-36N1E5,C3932-0359,VRF DUCT 系列機種,高士淵,2013/10/15
VS-45N1E5,C3932-0360,VRF DUCT 系列機種,高士淵,2013/10/15
VS-50N1E5,C3932-0361,VRF DUCT 系列機種,高士淵,2013/10/15
VS-56N1E5,C3932-0362,VRF DUCT 系列機種,高士淵,2013/10/15
VS-63N1E5,C3932-0363,VRF DUCT 系列機種,高士淵,2013/10/15
VS-71N1E5,C3932-0364,VRF DUCT 系列機種,高士淵,2013/10/15
VS-80N1E5,C3932-0365,VRF DUCT 系列機種,高士淵,2013/10/15
VS-90N1E5,C3932-0366,VRF DUCT 系列機種,高士淵,2013/10/15
VS-106N1E5,C3932-0367,VRF DUCT 系列機種,高士淵,2013/10/15
VS-112N1E5,C3932-0368,VRF DUCT 系列機種,高士淵,2013/10/15
VS-140N1E5,C3932-0369,VRF DUCT 系列機種,高士淵,2013/10/15
VS-160N1E5,C3932-0370,VRF DUCT 系列機種,高士淵,2013/10/15
CU-2J52系列,C3932-0371,2014年一對二52系列機種(合理化),蔣育宏,2013/9/20
CU-2J52CA2/03,C3932-0372,2014年一對二冷專主控板(132COMP),蔣育宏,2013/10/23
CU-2J52HA2/03,C3932-0373,2014年一對二冷暖主控板(132COMP),蔣育宏,2013/10/23
CU-LJ22CA2,C3932-0374,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ28CA2,C3932-0375,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ36CA2,C3932-0376,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ40CA2,C3932-0377,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ50CA2,C3932-0378,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ63CA2,C3932-0379,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ71CA2,C3932-0380,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ22HA2,C3932-0381,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ28HA2,C3932-0382,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ36HA2,C3932-0383,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ40HA2,C3932-0384,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ50HA2,C3932-0385,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ63HA2,C3932-0386,2014年分離變頻室外機,劉俊佑,2013/11/2
CU-LJ71HA2,C3932-0387,2014年分離變頻室外機,劉俊佑,2013/11/2
CS-LJ22CA2,C3932-0388,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ28CA2,C3932-0389,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ36CA2,C3932-0390,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ40CA2,C3932-0391,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ50CA2,C3932-0392,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ63CA2,C3932-0393,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ71CA2,C3932-0394,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ22HA2,C3932-0395,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ28HA2,C3932-0396,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ36HA2,C3932-0397,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ40HA2,C3932-0398,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ50HA2,C3932-0399,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ63HA2,C3932-0400,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ71HA2,C3932-0401,2014年分離變頻室內機,廖啟宏,2013/11/4
CS-LJ,C3932-0402,2014年分離變頻室內機,廖啟宏,2013/11/4
CU-LX22CA2,C3932-0403,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX28CA2,C3932-0404,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX36CA2,C3932-0405,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX40CA2,C3932-0406,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX50CA2,C3932-0407,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX22HA2,C3932-0408,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX28HA2,C3932-0409,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX36HA2,C3932-0410,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX40HA2,C3932-0411,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-LX50HA2,C3932-0412,2014年分離變頻室外機,劉俊佑,2013/11/13
CU-J20CA2/03,C3932-0413,2014年分離變頻室外機,劉俊佑,2013/11/22
CU-J25CA2/03,C3932-0414,2014年分離變頻室外機,劉俊佑,2013/11/22
CU-J20HA2/03,C3932-0415,2014年分離變頻室外機,劉俊佑,2013/11/22
CU-J25HA2/03,C3932-0416,2014年分離變頻室外機,劉俊佑,2013/11/22
CU-K22CA2/03,C3932-0417,2014年分離變頻室外機,劉俊佑,2013/11/22
CU-K28CA2/03,C3932-0418,2014年分離變頻室外機,劉俊佑,2013/11/22
CW-G40/50HA2(S),C3932-0419,窗型變頻 CW-G40/50HA2 機種(內機),高士淵,2013/11/22
CW-G40HA2(U),C3932-0420,窗型變頻 CW-G40HA2 機種(外機),高士淵,2013/11/22
CW-G50HA2(U),C3932-0421,窗型變頻 CW-G50HA2 機種(外機),高士淵,2014/2/13
CS-K20CA2,C3932-0422,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K25CA2,C3932-0423,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K32CA2,C3932-0424,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K36CA2,C3932-0425,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K45CA2,C3932-0426,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K56CA2,C3932-0427,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CS-K63CA2,C3932-0428,2013年K系列  室内機 INV 機種,廖啟宏,2014/2/18
CU-J63VCA2,C3932-0429,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-J71VCA2,C3932-0430,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-J80VCA2,C3932-0431,2015年一對一冷專主控板(240 COMP),蔣育宏,2014/5/8
CU-J90VCA2,C3932-0432,2015年一對一冷專主控板(240 COMP),蔣育宏,2014/5/8
CU-J63VHA2,C3932-0433,2015年一對一冷暖主控板(160 COMP),蔣育宏,2014/5/8
CU-J71VHA2,C3932-0434,2015年一對一冷暖主控板(160 COMP),蔣育宏,2014/5/8
CU-J80VHA2,C3932-0435,2015年一對一冷暖主控板(240 COMP),蔣育宏,2014/5/8
CU-J90VHA2,C3932-0436,2015年一對一冷暖主控板(240 COMP),蔣育宏,2014/5/8
CU-LJ63VCA2,C3932-0437,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-LJ71VCA2,C3932-0438,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-LJ80VCA2,C3932-0439,2015年一對一冷專主控板(240 COMP),蔣育宏,2014/5/8
CU-LJ90VCA2,C3932-0440,2015年一對一冷專主控板(240 COMP),蔣育宏,2014/5/8
CU-LJ63VHA2,C3932-0441,2015年一對一冷暖主控板(160 COMP),蔣育宏,2014/5/8
CU-LJ71VHA2,C3932-0442,2015年一對一冷暖主控板(160 COMP),蔣育宏,2014/5/8
CU-LJ80VHA2,C3932-0443,2015年一對一冷暖主控板(240 COMP),蔣育宏,2014/5/8
CU-LJ90VHA2,C3932-0444,2015年一對一冷暖主控板(240 COMP),蔣育宏,2014/5/8
CU-2J63CA2-01,C3932-0445,2015年一對二冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-2J63HA2-01,C3932-0446,2015年一對二冷暖主控板(160 COMP),蔣育宏,2014/5/8
CU-PS36RKV,C3932-0447,2015年一對一主控板(中南米向),蔣育宏,2014/5/8
CU-LX110CA2,C3932-0448,11kW冷專主控板(330 COMP),蔣育宏,2014/5/8
CU-LX110HA2,C3932-0449,11kW冷暖主控板(330 COMP),蔣育宏,2014/5/8
CU-K63VCA2,C3932-0450,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
CU-K71VCA2,C3932-0451,2015年一對一冷專主控板(160 COMP),蔣育宏,2014/5/8
F-YCK27H,C3932-0452,2014年香港向除濕機,廖啟宏,2014/3/14
F-Y22BW,C3932-0453,2014年台灣向除濕機,廖啟宏,2014/3/15
CS-LJ22CA2,C3932-0454,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ28CA2,C3932-0455,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ36CA2,C3932-0456,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ40CA2,C3932-0457,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ50CA2,C3932-0458,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ63CA2,C3932-0459,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ71CA2,C3932-0460,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ22HA2,C3932-0461,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ28HA2,C3932-0462,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ36HA2,C3932-0463,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ40HA2,C3932-0464,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ50HA2,C3932-0465,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ63HA2,C3932-0466,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LJ71HA2,C3932-0467,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX22A2,C3932-0468,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
